Type of Violation or Behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,Percent of Total,,,,,,,In Fatal Crashes,,,,,,,Percent of Fatal,,,,,,,In Injury Crashes,,,,,,,Percent of Injury,,,,,,"In PDO
Crashes",,,,,,,,Percent of  PDO,,,,,,
No Improper Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,387",,,,,,,46.51%,,,,,,,58,,,,,,,24.58%,,,,,,,"1,117",,,,,,,48.21%,,,,,,212,,,,,,,,49.42%,,,,,,
Speed too Fast for Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618,,,,,,,20.72%,,,,,,,49,,,,,,,20.76%,,,,,,,507,,,,,,,21.88%,,,,,,62,,,,,,,,14.45%,,,,,,
Exceeded Lawful Speed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,2.25%,,,,,,,18,,,,,,,7.63%,,,,,,,44,,,,,,,1.90%,,,,,,5,,,,,,,,1.17%,,,,,,
Failed to Yield Right-Of-Way,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,2.48%,,,,,,,6,,,,,,,2.54%,,,,,,,54,,,,,,,2.33%,,,,,,14,,,,,,,,3.26%,,,,,,
Followed Too Closely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,2.48%,,,,,,,2,,,,,,,0.85%,,,,,,,55,,,,,,,2.37%,,,,,,17,,,,,,,,3.96%,,,,,,
Ran Stop Sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,0.67%,,,,,,,1,,,,,,,0.42%,,,,,,,16,,,,,,,0.69%,,,,,,3,,,,,,,,0.70%,,,,,,
Disregarded Traffic Signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,2.05%,,,,,,,12,,,,,,,5.08%,,,,,,,42,,,,,,,1.81%,,,,,,7,,,,,,,,1.63%,,,,,,
Made Improper Turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,0.47%,,,,,,,0,,,,,,,0.00%,,,,,,,10,,,,,,,0.43%,,,,,,4,,,,,,,,0.93%,,,,,,
Drove in Opposing Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.00%,,,,,,,0,,,,,,,0.00%,,,,,,,0,,,,,,,0.00%,,,,,,0,,,,,,,,0.00%,,,,,,
Drove Left of Center Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,0.94%,,,,,,,7,,,,,,,2.97%,,,,,,,20,,,,,,,0.86%,,,,,,1,,,,,,,,0.23%,,,,,,
Passed in No-Passing Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,0.27%,,,,,,,2,,,,,,,0.85%,,,,,,,5,,,,,,,0.22%,,,,,,1,,,,,,,,0.23%,,,,,,
Unsafe Lane Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,2.55%,,,,,,,6,,,,,,,2.54%,,,,,,,53,,,,,,,2.29%,,,,,,17,,,,,,,,3.96%,,,,,,
Failed to Keep in Proper Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,3.52%,,,,,,,15,,,,,,,6.36%,,,,,,,79,,,,,,,3.41%,,,,,,11,,,,,,,,2.56%,,,,,,
Crossed Median,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0.03%,,,,,,,0,,,,,,,0.00%,,,,,,,1,,,,,,,0.04%,,,,,,0,,,,,,,,0.00%,,,,,,
Aggressive Driving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,0.34%,,,,,,,0,,,,,,,0.00%,,,,,,,6,,,,,,,0.26%,,,,,,4,,,,,,,,0.93%,,,,,,
Wrong Way Driving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0.10%,,,,,,,1,,,,,,,0.42%,,,,,,,1,,,,,,,0.04%,,,,,,1,,,,,,,,0.23%,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,3.62%,,,,,,,11,,,,,,,4.66%,,,,,,,78,,,,,,,3.37%,,,,,,19,,,,,,,,4.43%,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,,,,,,,11.00%,,,,,,,48,,,,,,,20.34%,,,,,,,229,,,,,,,9.88%,,,,,,51,,,,,,,,11.89%,,,,,,
TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,982",,,,,,,100.00%,,,,,,,236,,,,,,,100.00%,,,,,,,"2,317",,,,,,,100.00%,,,,,,429,,,,,,,,100.00%,,,,,,
