County,,,,,,,,,,,Number of Crashes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of Persons,,,,,,,,,,,,,
,,,,,,,,,,,Total,,,,,,,,,Fatal,,,,,,,,Injury,,,,,,,PDO,,,,,,,,Killed,,,,,,,Injured,,,,,,
Apache,,,,,,,,,,,6,,,,,,,,,2,,,,,,,,4,,,,,,,0,,,,,,,,2,,,,,,,4,,,,,,
Cochise,,,,,,,,,,,46,,,,,,,,,3,,,,,,,,38,,,,,,,5,,,,,,,,3,,,,,,,41,,,,,,
Coconino,,,,,,,,,,,84,,,,,,,,,6,,,,,,,,63,,,,,,,15,,,,,,,,6,,,,,,,71,,,,,,
Gila,,,,,,,,,,,40,,,,,,,,,5,,,,,,,,33,,,,,,,2,,,,,,,,5,,,,,,,36,,,,,,
Graham,,,,,,,,,,,7,,,,,,,,,0,,,,,,,,6,,,,,,,1,,,,,,,,0,,,,,,,5,,,,,,
Greenlee,,,,,,,,,,,5,,,,,,,,,1,,,,,,,,4,,,,,,,0,,,,,,,,1,,,,,,,5,,,,,,
La Paz,,,,,,,,,,,13,,,,,,,,,1,,,,,,,,9,,,,,,,3,,,,,,,,1,,,,,,,10,,,,,,
Maricopa,,,,,,,,,,,"1,906",,,,,,,,,134,,,,,,,,"1,473",,,,,,,299,,,,,,,,132,,,,,,,"1,560",,,,,,
Mohave,,,,,,,,,,,132,,,,,,,,,11,,,,,,,,106,,,,,,,15,,,,,,,,11,,,,,,,117,,,,,,
Navajo,,,,,,,,,,,19,,,,,,,,,3,,,,,,,,12,,,,,,,4,,,,,,,,3,,,,,,,15,,,,,,
Pima,,,,,,,,,,,293,,,,,,,,,25,,,,,,,,236,,,,,,,32,,,,,,,,24,,,,,,,248,,,,,,
Pinal,,,,,,,,,,,135,,,,,,,,,21,,,,,,,,95,,,,,,,19,,,,,,,,22,,,,,,,107,,,,,,
Santa Cruz,,,,,,,,,,,5,,,,,,,,,2,,,,,,,,2,,,,,,,1,,,,,,,,2,,,,,,,3,,,,,,
Yavapai,,,,,,,,,,,135,,,,,,,,,9,,,,,,,,112,,,,,,,14,,,,,,,,9,,,,,,,119,,,,,,
Yuma,,,,,,,,,,,85,,,,,,,,,7,,,,,,,,69,,,,,,,9,,,,,,,,7,,,,,,,74,,,,,,
TOTAL,,,,,,,,,,,"2,911",,,,,,,,,230,,,,,,,,"2,262",,,,,,,419,,,,,,,,228,,,,,,,"2,415",,,,,,
