Age of Victim,Total Persons Killed,Total Males Killed,Total Females Killed,Total Persons Injured,Total Males Injured,Total Females Injured,Uknown Gender Injured
0-4,0,0,0,1,1,0,0
5-9,0,0,0,4,1,3,0
10-14,0,0,0,20,15,5,0
15-19,17,16,1,169,162,7,0
20-24,23,23,0,340,311,29,0
25-34,47,41,6,588,533,55,0
35-44,37,34,3,388,331,57,0
45-54,37,34,3,394,331,63,0
55-64,28,22,6,303,264,39,0
65-74,35,31,4,149,140,9,0
75 & Older,3,3,0,45,39,6,0
Unknown,1,1,0,14,10,0,4
TOTAL,228,205,23,"2,415","2,138",273,4
