Time,All Crashes,Fatal Crashes,Monday-All Crashes,Monday-Fatal Crashes,Tuesday-All Crashes,Tuesday-Fatal Crashes,Wednesday-All Crashes,Wednesday-Fatal Crashes,Thursday-All Crashes,Thursday-Fatal Crashes,Friday-All Crashes,Friday-Fatal Crashes,Saturday-All Crashes,Saturday-Fatal Crashes,Sunday-All Crashes,Sunday-Fatal Crashes,Weekdays-All Crashes,Weekdays-Fatal Crashes,Weekends-All Crashes,Weekends-Fatal Crashes
12:00 AM,51,10,2,0,6,1,4,0,4,2,6,3,14,2,15,2,20,6,31,4
1:00 AM,29,4,1,0,3,1,2,0,4,1,4,1,10,0,5,1,13,3,16,1
2:00 AM,43,5,3,0,2,1,3,0,3,0,7,1,15,1,10,2,15,2,28,3
3:00 AM,14,1,1,0,1,0,0,0,2,0,3,0,5,1,2,0,6,0,8,1
4:00 AM,17,4,1,0,9,2,2,0,1,0,2,1,1,1,1,0,14,3,3,1
5:00 AM,51,6,12,2,6,0,10,1,9,0,11,3,1,0,2,0,36,4,15,2
6:00 AM,92,7,11,1,16,0,18,1,21,2,14,0,11,3,1,0,80,4,12,3
7:00 AM,103,2,16,0,23,1,20,0,12,0,15,0,12,0,5,1,86,1,17,1
8:00 AM,93,2,13,0,17,1,14,0,20,0,8,0,12,1,9,0,72,1,21,1
9:00 AM,91,10,9,0,12,2,12,0,13,3,16,4,15,1,14,0,62,9,29,1
10:00 AM,142,5,11,1,15,0,16,2,19,0,15,0,31,1,35,1,76,3,66,2
11:00 AM,134,7,12,0,16,2,13,0,24,1,20,0,22,0,27,4,85,3,49,4
12:00 PM,175,13,20,2,21,1,32,2,15,1,26,4,31,0,30,3,114,10,61,3
1:00 PM,193,10,20,1,21,0,23,4,23,1,27,1,48,1,31,2,114,7,79,3
2:00 PM,193,20,18,3,29,2,27,2,21,3,29,4,38,3,31,3,124,14,69,6
3:00 PM,236,15,34,3,36,3,29,4,35,0,28,1,44,3,30,1,162,11,74,4
4:00 PM,246,19,28,4,36,1,37,4,37,2,43,3,35,1,30,4,181,14,65,5
5:00 PM,236,18,36,4,32,1,41,4,29,2,34,0,37,6,27,1,172,11,64,7
6:00 PM,236,11,23,1,27,2,36,1,40,0,43,2,44,3,23,2,126,4,110,7
7:00 PM,154,15,17,1,14,1,17,3,19,0,33,3,26,5,28,2,67,5,87,10
8:00 PM,124,10,10,0,16,1,22,0,16,0,29,6,20,0,11,3,64,1,60,9
9:00 PM,120,13,15,0,15,0,13,4,20,3,17,2,26,4,14,0,63,7,57,6
10:00 PM,83,14,4,1,7,2,6,0,18,1,12,3,27,4,9,3,35,4,48,10
11:00 PM,55,9,7,1,6,0,4,0,5,1,6,0,19,7,8,0,22,2,33,7
TOTAL,"2,911",230,324,25,386,25,401,32,410,23,448,42,544,48,398,35,"1,809",129,"1,102",101
